Tarih,Doviz Alis,Doviz Satis,Efektif Alis,Efektif Satis
0102,1.7708,1.7793,1.7696,1.7820
0103,1.7729,1.7815,1.7717,1.7842
0104,1.7800,1.7886,1.7788,1.7913
0107,1.7736,1.7822,1.7724,1.7849
0108,1.7705,1.7790,1.7693,1.7817
0109,1.7692,1.7777,1.7680,1.7804
0110,1.7668,1.7753,1.7656,1.7780
0111,1.7624,1.7709,1.7612,1.7736
0114,1.7612,1.7697,1.7600,1.7724
0115,1.7629,1.7714,1.7617,1.7741
0116,1.7620,1.7705,1.7608,1.7732
0117,1.7510,1.7594,1.7498,1.7620
0118,1.7496,1.7580,1.7484,1.7606
0121,1.7540,1.7625,1.7528,1.7651
0122,1.7572,1.7657,1.7560,1.7683
0123,1.7622,1.7707,1.7610,1.7734
0124,1.7625,1.7710,1.7613,1.7737
0125,1.7571,1.7656,1.7559,1.7682
0128,1.7597,1.7682,1.7585,1.7709
0129,1.7629,1.7714,1.7617,1.7741
0130,1.7588,1.7673,1.7576,1.7700
0131,1.7548,1.7633,1.7536,1.7659
0201,1.7462,1.7546,1.7450,1.7572
0204,1.7459,1.7543,1.7447,1.7569
0205,1.7509,1.7593,1.7497,1.7619
0206,1.7569,1.7654,1.7557,1.7680
0207,1.7601,1.7686,1.7589,1.7713
0208,1.7635,1.7720,1.7623,1.7747
0211,1.7647,1.7732,1.7635,1.7759
0212,1.7667,1.7752,1.7655,1.7779
0213,1.7590,1.7675,1.7578,1.7702
0214,1.7619,1.7704,1.7607,1.7731
0215,1.7675,1.7707,1.7663,1.7734
0218,1.7651,1.7683,1.7639,1.7710
0219,1.7698,1.7730,1.7686,1.7757
0220,1.7760,1.7792,1.7748,1.7819
0221,1.7911,1.7943,1.7898,1.7970
0222,1.7904,1.7936,1.7891,1.7963
0225,1.7961,1.7994,1.7948,1.8021
0226,1.8069,1.8102,1.8056,1.8129
0227,1.8050,1.8082,1.8037,1.8109
0228,1.7955,1.7988,1.7942,1.8015
0301,1.8010,1.8042,1.7997,1.8069
0304,1.8021,1.8054,1.8008,1.8081
0305,1.7949,1.7981,1.7936,1.8008
0306,1.7914,1.7946,1.7901,1.7973
0307,1.7969,1.8002,1.7956,1.8029
0308,1.7949,1.7981,1.7936,1.8008
0311,1.8028,1.8061,1.8015,1.8088
0312,1.8021,1.8054,1.8008,1.8081
0313,1.8060,1.8092,1.8047,1.8119
0314,1.8129,1.8162,1.8116,1.8189
0315,1.8085,1.8117,1.8072,1.8144
0318,1.8137,1.8170,1.8124,1.8197
0319,1.8151,1.8184,1.8138,1.8211
0320,1.8187,1.8220,1.8174,1.8247
0321,1.8151,1.8184,1.8138,1.8211
0322,1.8174,1.8207,1.8161,1.8234
0325,1.8140,1.8172,1.8127,1.8199
0326,1.8168,1.8200,1.8155,1.8227
0327,1.8176,1.8209,1.8163,1.8236
0328,1.8137,1.8170,1.8124,1.8197
0329,1.8087,1.8120,1.8074,1.8147
0401,1.8099,1.8131,1.8086,1.8158
0402,1.8049,1.8081,1.8036,1.8108
0403,1.8061,1.8093,1.8048,1.8120
0404,1.8075,1.8108,1.8062,1.8135
0405,1.8007,1.8039,1.7994,1.8066
0408,1.7881,1.7913,1.7868,1.7940
0409,1.7830,1.7862,1.7818,1.7889
0410,1.7834,1.7866,1.7822,1.7893
0411,1.7849,1.7881,1.7837,1.7908
0412,1.7883,1.7915,1.7870,1.7942
0415,1.7890,1.7922,1.7877,1.7949
0416,1.7921,1.7954,1.7908,1.7981
0417,1.7887,1.7920,1.7874,1.7947
0418,1.7944,1.7976,1.7931,1.8003
0419,1.7965,1.7997,1.7952,1.8024
0422,1.8016,1.8048,1.8003,1.8075
0424,1.8034,1.8066,1.8021,1.8093
0425,1.7990,1.8022,1.7977,1.8049
0426,1.8004,1.8036,1.7991,1.8063
